Card Name,Type,Attribute,Sub Type,ATK,DEF,Card Text
"Avida, Rebuilder of Worlds",Effect Monster,LIGHT,Cyberse,3500,3500,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by there being at least 8 or more Link Monsters with different names on the field and/or in the GYs. You cannot Special Summon other monsters the turn you Special Summon this card. This card's Special Summon cannot be negated. If this card is Special Summoned: Shuffle all other monsters that are banished, on the field, and in the GYs into the Decks. Neither player can activate cards or effects in response to this effect's activation."
Darklord Morningstar,Effect Monster,DARK,Fairy,3000,3000,"Cannot be Special Summoned. If this card is Tribute Summoned: You can Special Summon ""Darklord"" monsters from your hand and/or Deck, up to the number of Effect Monsters your opponent controls. While you control another ""Darklord"" monster, your opponent cannot target this card with card effects. Once per turn: You can send cards from the top of your Deck to the Graveyard, equal to the number of ""Darklord"" monsters on the field, and if you do, gain 500 LP for each ""Darklord"" card sent to the Graveyard by this effect."
Flower Cardian Willow,Effect Monster,DARK,Warrior,100,100,"While you control a Level 10 or lower ""Flower Cardian"" monster: You can Special Summon this card from your hand, also you cannot Normal or Special Summonmonsters for the rest of this turn, except ""Flower Cardian"" monsters. Once per turn: You can target 1 ""Flower Cardian"" monster in your Graveyard; shuffle it into your Deck, then draw 1 card."
Gate Guardian,Effect Monster,DARK,Warrior,3750,3400,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by Tributing ""Sanga of the Thunder"", ""Kazejin"" and ""Suijin"""
Hyper Psychic Blaster/Assault Mode,Effect Monster,EARTH,Psychic,3500,3000,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with ""Assault Mode Activate"". If this card battles a monster, at the end of the Damage Step, inflict damage to your opponent equal to that monster's DEF and gain Life Points equal to its ATK. When this card on the field is destroyed, you can Special Summon 1 ""Hyper Psychic Blaster"" from your Graveyard."
"Nibiru, the Primal Being",Effect Monster,LIGHT,Rock,3000,600,"During the Main Phase, if your opponent Normal or Special Summoned 5 or more monsters this turn (Quick Effect): You can Tribute as many face-up monsters on the field as possible, and if you do, Special Summon this card from your hand, then Special Summon 1 ""Primal Being Token"" (Rock/LIGHT/Level 11/ATK ?/DEF ?) to your opponent's field. (This Token's ATK/DEF become the combined original ATK/DEF of the Tributed monsters.) You can only use this effect of ""Nibiru, the Primal Being"" once per turn."
"Sophia, Goddess of Rebirth",Effect Monster,DARK,Fairy,3600,3400,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 1 face-up Ritual, Fusion, Synchro, and Xyz Monster from anywhere on the field, and cannot be Special Summoned by other ways. This card's Special Summon cannot be negated. When this card is Special Summoned: Banish all other cards from both players' hands, fields, and Graveyards. Cards and effects cannot be activated in response to this effect's activation."
"Tierra, Source of Destruction",Effect Monster,LIGHT,Fiend,3400,3600,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by shuffling 10 other cards with different names from your hand and/or field into the Deck and/or Extra Deck, and cannot be Special Summoned by other ways. This card's Special Summon cannot be negated. If this card is Special Summoned: Shuffle all cards into the Deck, except this card, from each player's hand, field, Graveyard, and face-up Pendulum Monsters from the Extra Deck. Neither player can activate cards or effects in response to this effect's activation."
Yubel - Terror Incarnate,Effect Monster,DARK,Fiend,0,0,"Cannot be Normal Summoned or Set. Must be Special Summoned by ""Yubel"", and cannot be Special Summoned other ways. This card cannot be destroyed by battle. You take no Battle Damage from battles involving this card. Before damage calculation, when this face-up Attack Position card is attacked by an opponent's monster: Inflict damage to your opponent equal to that monster's ATK. During your End Phase: Destroy all other monsters on the field. When this face-up card leaves the field: You can Special Summon 1 ""Yubel - The Ultimate Nightmare"" from your hand, Deck or Graveyard."
Subterror Behemoth Speleogeist,Flip/Effect Monster,EARTH,Fiend,3000,1400,"FLIP: You can target 1 monster on the field; change it to face-up Attack Position if it is in Defense Position, also change its ATK to 0. You can only use this effect of ""Subterror Behemoth Speleogeist"" once per turn."
,,,,,,"When a face-up monster you control is flipped face-down, if you control no face-up monsters: You can Special Summon this card from your hand in Defense Position. Once per turn: You can change this card to face-down Defense Position."
Elemental HERO Cosmo Neos,Fusion/Effect Monster,LIGHT,Warrior,3500,3000,"""Elemental HERO Neos"" + 3 ""Neo-Spacian"" monsters with different Attributes"
,,,,,,"Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) If this card is Special Summoned from the Extra Deck: You can activate this effect; for the rest of this turn, your opponent cannot activate cards, also cards your opponent controls cannot activate their effects. You opponent cannot activate cards or effects in response to this effect's activation. Once per turn, during the End Phase: Shuffle this card into the Extra Deck, and if you do, destroy all cards your opponent controls."
Infernoid Tierra,Fusion/Effect Monster,FIRE,Fiend,3400,3600,"""Infernoid Onuncu"" + ""Infernoid Devyaty"" + 1 or more ""Infernoid"" monsters."
,,,,,,"When this card is Fusion Summoned, you can: Apply these effects, in sequence, depending on the number of Fusion Materials with different names used for this card's Summon;"
,,,,,,3 or more: Each player sends 3 cards from their Extra Deck to the Graveyard.
,,,,,,5 or more: Each player sends the top 3 cards of their Deck to the Graveyard.
,,,,,,8 or more: Each player returns up to 3 of their banished cards to the Graveyard.
,,,,,,10 or more: Each player sends their entire hand to the Graveyard.
