Card Name,Type,Attribute   ,Sub Type    ,ATK    ,DEF    ,Card Text
Airknight Parshath,Effect Monster,LIGHT,Fairy,1900,1400,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. When this card inflicts battle damage to your opponent: Draw 1 card."
Allure Queen LV5,Effect Monster,DARK,Spellcaster,1000,1000,"Once per turn, during your Main Phase, if this card was Special Summoned by the effect of ""Allure Queen LV3"", you can select 1 Level 5 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 ""Allure Queen LV7"" from your hand or Deck."
Ally of Justice Omni-Weapon,Effect Monster,DARK,Machine,2200,800,"When this card destroys a LIGHT monster by battle and sends it to the Graveyard, draw 1 card. If that card is a Level 4 or lower DARK monster, you can reveal that card to Special Summon it."
Ally of Justice Rudra,Effect Monster,DARK,Machine,1900,1200,"If this card battles a LIGHT monster, it gains 700 ATK during the Damage Step only."
Altergeist Kunquery,Effect Monster,EARTH,Spellcaster,0,2400,"When an opponent's monster declares an attack, if you control an ""Altergeist"" card: You can Special Summon this card from your hand, and if you do, negate that attack. If this card is Special Summoned: You can target 1 face-up card your opponent controls; negate the effects of that card while it and this monster are face-up on the field."
Ancient Gear Engineer,Effect Monster,EARTH,Machine,1500,1500,"Negate the effect of any Trap Card that targets this card, and destroy that Trap Card. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step. When this card attacks, destroy 1 Spell or Trap Card on your opponent's side of the field at the end of the Damage Step."
Anteatereatingant,Effect Monster,EARTH,Insect,2000,500,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 2 Spell or Trap Cards on your side of the field to the Graveyard. This card can destroy 1 Spell or Trap Card on your opponent's side of the field, but it cannot attack this turn if you activate this effect."
Armed Dragon LV5,Effect Monster,WIND,Dragon,2400,1700,"You can send 1 monster from your hand to the Graveyard to select 1 face-up monster your opponent controls with ATK less than or equal to the ATK of the sent monster, and destroy the selected monster. During the End Phase of the turn this card destroys a monster by battle, you can send this face-up card from the field to the Graveyard to Special Summon 1 ""Armed Dragon LV7"" from your hand or Deck."
Aromage Marjoram,Effect Monster,DARK,Plant,2000,16000,"While your LP are higher than your opponent's, you take no battle damage from attacks involving your Plant monsters. You can only use each of the following effects of ""Aromage Marjoram"" once per turn."
,,,,,,"When a Plant monster you control is destroyed by battle: You can Special Summon this card from your hand, then gain 500 LP."
,,,,,,"If you gain LP: Target cards in your opponent's GY, up to the number of ""Aroma"" monsters you control; banish them."
Artifact Achilleshield,Effect Monster,LIGHT,Fairy,1500,2200,"You can Set this card from your hand to your Spell & Trap Card Zone as a Spell Card. During your opponent's turn, when this Set card in the Spell & Trap Card Zone is destroyed and sent to your Graveyard: Special Summon it. If this card is Special Summoned during your opponent's turn: Your opponent cannot target ""Artifact"" monsters youcontrol for attacks for the rest of this turn."
Artifact Aegis,Effect Monster,LIGHT,Fairy,1200,2500,"You can Set this card from your hand to your Spell & Trap Card Zone as a Spell Card. During your opponent's turn, when this Set card in the Spell & Trap Card Zone is destroyed and sent to your Graveyard: Special Summon it. If this card is Special Summoned during your opponent's turn: ""Artifact"" monsters you control cannot be targeted or destroyed by your opponent's card effects until the end of this turn."
Artifact Beagalltach,Effect Monster,LIGHT,Fairy,1400,2100,"You can Set this card from your hand to your Spell & Trap Card Zone as a Spell Card. During your opponent's turn, when this Set card in the Spell & Trap Card Zone is destroyed and sent to your Graveyard: Special Summon it. If this card is Special Summoned during your opponent's turn: Destroy up to 2 Set cards you control (min. 1). You can only use this effect of ""Artifact Beagalltach"" once per turn."
