Card Name,Type,Attribute,Sub Type,ATK,DEF,Card Text
A Man with Wdjat,Effect Monster,DARK,Spellcaster,1600,1600,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position."
Abaki,Effect Monster,FIRE,Fiend,1700,1100,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage."
Abare Ushioni,Effect Monster,EARTH,Beast-Warrior,1200,1200,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage."
Absolute Crusader,Effect Monster,EARTH,Warrior,1800,1200,When a Level 5 or higher monster is Special Summoned: Tribute this face-up card on the field; destroy that Level 5 or higher monster.
Absorbing Kid from the Sky,Effect Monster,LIGHT,Fairy,1300,1000,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points."
Abyss Soldier,Effect Monster,WATER,Aqua,1800,1300,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.
Abyss Warrior,Effect Monster,WATER,Aqua,1800,1300,"Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck."
Abyssal Kingshark,Effect Monster,WATER,Fish,1700,600,"Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed."
Adamancipator Crystal - Dragite,Effect Monster,WATER,Rock,0,2200,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can draw 1 card. If this card is in your GY: You can target 1 WATER Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Dragite"" once per turn."
Adamancipator Crystal - Leonite,Effect Monster,FIRE,Rock,0,2200,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can place 1 ""Adamancipator"" card from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 FIRE Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Leonite"" once per turn."
Adamancipator Crystal - Raptite,Effect Monster,WIND,Rock,0,2200,"If this card is Special Summoned by the effect of an ""Adamancipator"" card: You can place 1 Rock monster from your hand or GY on top of the Deck. If this card is in your GY: You can target 1 WIND Synchro Monster you control or in your GY; return it to the Extra Deck, and if you do, place this card on top of the Deck. You can only use each effect of ""Adamancipator Crystal - Raptite"" once per turn."
Agido,Effect Monster,EARTH,Fairy,1500,1300,"When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can Special Summon 1 Fairy-Type monster from your Graveyard whose Level is equal to the number rolled. (If the result is 6, you can Special Summon a Level 6 or higher monster.)"
"Ahrima, the Wicked Warden",Effect Monster,DARK,Fiend,1700,0,"You can discard this card; add 1 ""Lair of Darkness"" from your Deck to your hand. You can Tribute 1 DARK monster; draw 1 card, or, if you Tributed a DARK monster other than this card to activate this effect, you can add 1 DARK monster with 2000 or more DEF from your Deck to your hand, instead. You can only use this effect of ""Ahrima, the Wicked Warden"" once per turn."
Air Armor Ninja,Effect Monster,WIND,Warrior,1400,1400,"When this card is Summoned: You can target 1 ""Ninja"" monster you control; reduce its Level by 1."
Alchemist of Black Spells,Effect Monster,WIND,Spellcaster,1200,1800,"Once per turn, you can change this face-up Attack Position card you control to face-up Defense Position and place 1 Spell Counter on a face-up card you control that you can place a Spell Counter on."
Aleister the Invoker,Effect Monster,DARK,Spellcaster,1000,1800,"During either player's turn: You can send this card from your hand to the Graveyard, then target 1 Fusion Monster you control; it gains 1000 ATK and DEF until the end of this turn. If this card is Normal Summoned or flipped face-up: You can add 1 ""Invocation"" from your Deck to your hand."
Alien Hunter,Effect Monster,WATER,Reptile,1600,800,"If this card destroys a monster with an A-Counter by battle, it can attack once again in a row."
Alien Kid,Effect Monster,LIGHT,Reptile,1600,700,"Place 1 A-Counter on all monsters Special Summoned to your opponent's side of the field. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)"
Alien Skull,Effect Monster,WIND,Reptile,1600,1800,"You can Tribute 1 face-up Level 3 or lower monster on your opponent's side of the field to Special Summon this card to your opponent's side of the field. If you Special Summon this monster this way, place 1 A-Counter on this card, and you cannot Normal Summon or Set the same turn. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)"
