Card Name,Type,Attribute,Sub Type,ATK,DEF,Card Text
"Aether, the Empowering Dragon",Effect Monster,LIGHT,Dragon,2300,1600,"When this card is Pendulum Summoned: You can target 1 card on the field; return it to the hand. You can only use this effect of ""Aether, the Empowering Dragon"" once per turn."
"Akz, the Pumer",Effect Monster,EARTH,Beast-Warrior,1500,1000,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 Beast-Warrior-Type monsters in your Graveyard. Once per turn, you can discard 1 Beast-Warrior-Type monster from your hand to activate 1 of the following effects:"
,,,,,,Double this card's ATK until the End Phase.
,,,,,,This card can attack your opponent directly this turn.
"Alector, Sovereign of Birds",Effect Monster,WIND,Winged Beast,2400,2000,"If your opponent controls 2 or more face-up monsters of the same Attribute, you can Special Summon this card (from your hand). Once per turn: You can target 1 face-up card on the field; its effect(s) on the field are negated during this turn. There can only be 1 face-up ""Alector, Sovereign of Birds"" on the field."
Alien Mother,Effect Monster,DARK,Reptile,2300,1500,"If this card destroys a monster with an A-Counter by battle and sends it to the Graveyard, Special Summon the destroyed monster to your side of the field at the end of the Battle Phase. When this card is removed from the field, all monsters that were Special Summoned by this card's effect are destroyed."
Alien Overlord,Effect Monster,DARK,Reptile,2200,1600,"You can remove 2 A-Counters from anywhere on the field to Special Summon this card from your hand. Once per turn, you can place 1 A-Counter on each face-up monster your opponent controls. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) You can only control 1 face-up ""Alien Overlord""."
Ally of Justice Enemy Catcher,Effect Monster,DARK,Machine,1800,1800,"When this card is Normal Summoned, you can gain control of 1 face-down Defense Position monster your opponent controls until the End Phase."
Amazoness Queen,Effect Monster,EARTH,Warrior,2400,1800,Amazoness monsters you control cannot be destroyed by battle.
Ambitious Gofer,Effect Monster,DARK,Fiend,2400,100,"Once per turn, you select up to 2 monsters your opponent controls. Your opponent can reveal 1 monster in their hand to negate this card's effect. If they do not, destroy the selected monsters."
Ancient Gear Beast,Effect Monster,EARTH,Machine,2000,2000,"This card cannot be Special Summoned. The effects of your opponent's Effect Monster that this monster destroys as a result of battle are negated. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step."
Ancient Gear Gadjiltron Chimera,Effect Monster,EARTH,Machine,2300,1300,"If you Tribute Summon this card by Tributing 1 of the following monsters, this card gets the appropriate effect:"
,,,,,,Green Gadget: This card gains 300 ATK.
,,,,,,Red Gadget: If this card successfully attacks your opponent directly inflict 500 damage to your opponent.
,,,,,,"Yellow Gadget: If this card destroys your opponent's monster by battle, inflict 700 damage to your opponent."
Angmarl the Fiendish Monarch,Effect Monster,DARK,Fiend,2400,1000,When this card is Tribute Summoned: You can banish 1 Spell Card from your Graveyard; add 1 card with the same name as the banished Spell Card from your Deck to your hand.
Apprentice Illusion Magician,Effect Monster,DARK,Spellcaster,2000,1700,"You can Special Summon this card (from your hand) by discarding 1 card. If this card is Normal or Special Summoned: You can add 1 ""Dark Magician"" from your Deck to your hand. During damage calculation (in either player's turn), if your other DARK Spellcaster-Type monster battles an opponent's monster: You can send this card from your hand or face-up from your field to the Graveyard; that monster you control gains 2000 ATK and DEF during that damage calculation only."
Aquaactress Arowana,Effect Monster,WATER,Aqua,2000,2000,"Once per turn: You can add 1 ""Aquaactress"" monster from your Deck to your hand."
Arcana Force XIV - Temperance,Effect Monster,LIGHT,Fairy,2400,2400,"During damage calculation, in either player's turn: You can discard this card; you take no Battle Damage from that battle. When this card is Summoned: Toss a coin and apply this effect. The effect lasts while this card is face-up on the field."
,,,,,,Heads: Halve all Battle Damage you take.
,,,,,,Tails: Halve all Battle Damage your opponent takes.
Archfiend Commander,Effect Monster,DARK,Fiend,2500,1200,"If you control an ""Archfiend"" card, you can Special Summon this card (from your hand), but it cannot attack this turn. You can only Special Summon ""Archfiend Commander"" once per turn this way. When Special Summoned this way: Target 1 ""Archfiend"" card you control;destroy that target. When this card is Tribute Summoned: You can target 1 Level 6 ""Archfiend"" monster in your Graveyard; Special Summon that target in face-up Defense Position."
Archfiend Giant,Effect Monster,DARK,Fiend,2400,1600,"If this face-up card on the field would be destroyed by a card effect, you can pay 500 Life Points instead. This effect can only be used once while this card is face-up on the field. If this card is destroyed by a card effect and sent to the Graveyard: You can Special Summon 1 ""Archfiend"" monster from your hand."
Archfiend of Gilfer,Effect Monster,DARK,Fiend,2200,2500,"When this card is sent to the Graveyard, you can select 1 monster on the field and equip it with this card. The equipped monster loses 500 ATK."
Armored Axon Kicker,Effect Monster,EARTH,Psychic,2200,1800,"If you control a face-up Psychic-Type monster, you can Normal Summon this card without Tributing. If this card destroys an opponent's monster by battle, you take damage equal to half the destroyed monster's ATK. Then, you can Special Summon 1 monster from the Graveyard with ATK less than or equal to the damage you took."
Aromage Bergamot,Effect Monster,FIRE,Plant,2400,1800,"While your LP is higher than your opponent's, if a Plant-Type monster you control attacks a Defense Position monster, inflict piercing battle damage to your opponent.Once per turn, if you gain LP: This card gains 1000 ATK and DEF until the end of your opponent's turn."
B.E.S. Big Core MK-2,Effect Monster,FIRE,Machine,2400,1100,"If you control no monsters, you can Normal Summon this card without Tributing. When this card is Special Summoned, place 3 counters on it. This card cannot be destroyed by battle. If this card attacks or is attacked, remove 1 counter from this card at the end of the Damage Step. If you cannot, destroy it."
B.E.S. Tetran,Effect Monster,WIND,Machine,1800,2300,"When this card is Normal Summoned, put 3 counters on it. This card cannot be destroyed by battle. If this card attacks or is attacked, remove 1 counter from this card at the end of the Damage Step. If you cannot, destroy it. Once per turn, you can remove 1 counter on this card to destory 1 Spell or Trap Card on the field."
