Card Name,Type,Attribute   ,Sub Type    ,ATK    ,DEF    ,Card Text
Abominable Unchained Soul,Effect Monster,DARK,Fiend,3000,1500,"You can only Special Summon ""Abominable Unchained Soul(s)"" once per turn. If a card(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. If this card is Special Summoned: You can discard 1 card; destroy 1 card on the field. Once per turn, during the End Phase, if this card is in the GY because it was destroyed on the field and sent there this turn: You can Special Summon this card, but place it on the bottom of the Deck when it leaves the field."
Ally of Justice Cosmic Gateway,Effect Monster,DARK,Machine,2400,1200,"If your opponent controls 2 or more monsters, including a LIGHT monster, you can Special Summon this card from your hand."
Ally of Justice Thunder Armor,Effect Monster,DARK,Machine,2700,2200,"This card cannot be Special Summoned. While you control this face-up card, during battle between an attacking ""Ally of Justice"" monster you control and a Defense Position monster whose DEF is lower than the ATK of the attacking monster, inflict the difference as Battle Damage to your opponent."
Ancient Gear Gadjiltron Dragon,Effect Monster,EARTH,Machine,3000,2000,"If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. This card gets extra effects if you Tribute Summon it by Tributing"
,,,,,,"Green Gadget: During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent."
,,,,,,"Red Gadget: When this card inflicts Battle Damage to your opponent, inflict 400 damage to your opponent."
,,,,,,"Yellow Gadget: If this card destroys your opponent's monster by battle, inflict 600 damage to your opponent."
Ancient Gear Golem,Effect Monster,EARTH,Machine,3000,3000,"Cannot be Special Summoned. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step."
Ancient Gear Golem - Ultimate Pound,Effect Monster,EARTH,Machine,3000,3000,"Cannot be Special Summoned. If this card attacks a Defense Position monster, inflict piercing battle damage. Up to twice per turn, when this attacking card destroys a monster by battle: You can discard 1 Machine monster; this card can attack again in a row. If this card on the field is destroyed by battle or card effect: You can add 1 ""Polymerization"" from your Deck to your hand, and if you do, add 1 other ""Ancient Gear"" monster from your GY to your hand."
Arcana Force XXI - The World,Effect Monster,LIGHT,Fairy,3100,3100,"When this card is Summoned, toss a coin: * Heads: During your End Phase, you can send 2 monsters you control to the Graveyard to skip your opponent's next turn. * Tails: During your opponent's Draw Phase, add the top card of their Graveyard to their hand."
"Archfiend Emperor, the First Lord of Horror",Effect Monster,DARK,Fiend,3000,2000,"You can Normal Summon this card without Tributing, but its original ATK and DEF become halved. If Summoned this way, it is destroyed during the End Phase. You cannot Special Summon any monsters, except Fiend-Type monsters. Once per turn: You can banish 1 ""Archfiend"" card from your hand or Graveyard, then target 1 card on the field; destroy that target."
Archfiend Empress,Effect Monster,DARK,Fiend,2900,2100,"If (exactly) 1 face-up DARK Fiend-Type monster on the field, except this card, would be destroyed, you can remove from play 1 DARK Fiend-Type monster from your Graveyard, instead. When this card is destroyed and sent from the field to the Graveyard, you can select 1 Level 6 or higher DARK Fiend-Type monster in your Graveyard, except ""Archfiend Empress"", and Special Summon it."
Archlord Kristya,Effect Monster,LIGHT,Fairy,2800,2300,"If you have exactly 4 Fairy-Type monsters in your Graveyard, you can Special Summon this card (from your hand). When you do: Target 1 Fairy-Type monster in your Graveyard; add that target to your hand. Neither player can Special Summon monsters. If this face-up card would be sent from the field to the Graveyard, it returns to the top of the Deck, instead."
Archlord Zerato,Effect Monster,LIGHT,Fairy,2800,2300,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 face-up Warrior of Zera"" on your side of the field while ""The Sanctuary in the Sky"" is on the field. If ""The Sanctuary in the Sky"" is on your side of the field, by discarding 1 LIGHT Monster Card from your hand to the Graveyard, destroy all monsters on your opponent's side of the field. If ""The Sanctuary in the Sky"" is not on your side of the field, this effect is not applied."""
Armed Protector Dragon,Effect Monster,LIGHT,Dragon,2000,2800,Face-up Equip Cards you control cannot be destroyed by card effects. This card gains 500 ATK for each Equip Card equipped to this card.
Armoroid,Effect Monster,EARTH,Machine,2700,2000,"When you Tribute Summoned this card by Tributing at least 1 ""roid"" monster, remove from play all Spell and Trap Cards on the field."
B.E.S. Big Core MK-3,Effect Monster,LIGHT,Machine,2700,1900,"If your opponent controls a monster and you control no monsters, you can Special Summon this card (from your hand) in Defense Position. If this card is Normal or Special Summoned: Place 3 counters on this card. Cannot be destroyed by battle. At the end of the Damage Step, if this card battles a monster: Remove 1 counter from this card. If you cannot, destroy it. You can banish this card from your Graveyard; shuffle all ""B.E.S."" monsters from your Graveyard into the Deck."
Batteryman Industrial Strength,Effect Monster,LIGHT,Thunder,2600,0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 2 ""Batteryman"" monsters from your Graveyard. Once per turn, you can remove from play 1 Thunder-Type monster from your Graveyard to destroy 1 monster and 1 Spell or Trap Card on the field."
Battleguard King,Effect Monster,EARTH,Warrior,3000,1100,"Once per turn: You can Tribute any number of Warrior-Type monsters, except this card; for each Tributed monster, this card gains 1 additional attack during each Battle Phase this turn."
Beast King Barbaros,Effect Monster,EARTH,Beast-Warrior,3000,1200,"You can Normal Summon/Set this card without Tributing, but its original ATK becomes 1900. You can Tribute 3 monsters to Tribute Summon this card. If you do: Destroy all cards your opponent controls."
Beast Machine King Barbaros Ur,Effect Monster,EARTH,Beast-Warrior,3800,1200,"You can Special Summon this card (from your hand) by banishing 1 Machine-Type monster and 1 Beast-Warrior-Type monster from your hand, field, and/or Graveyard. If this card attacks or is attacked, your opponent takes no battle damage."
Belial - Marquis of Darkness,Effect Monster,DARK,Fiend,2800,2400,"Your opponent cannot target any face-up monster you control, except ""Belial - Marquis of Darkness"", for an attack, or with Spell/Trap effects."
Berserk Dragon,Effect Monster,DARK,Zombie,3500,0,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""A Deal with Dark Ruler"" and cannot be Special Summoned by other ways. This card can attack all monsters your opponent controls once each. During each of your End Phases, this card loses 500 ATK."
Berserkion the Electromagna Warrior,Effect Monster,EARTH,Rock,3000,2800,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 ""Alpha The Electromagnet Warrior"", ""Beta The Electromagnet Warrior"", and ""Gamma The Electromagnet Warrior"" from your hand, Graveyard, and/or face-up from your Monster Zone. You can banish 1 Level 4 or lower ""Magnet Warrior"" monster from your Graveyard, then target 1 card your opponent controls; destroy it. If this card is destroyed by battle, or if this card in its owner's possession is destroyed by an opponent's card effect: You can target 1 each of your banished ""Alpha The Electromagnet Warrior"", ""Beta The Electromagnet Warrior"", and ""Gamma The Electromagnet Warrior""; Special Summon them."
Black Luster Soldier - Envoy of the Beginning,Effect Monster,LIGHT,Warrior,3000,2500,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 LIGHT and 1 DARK monster from your Graveyard. Once per turn, you can activate 1 of these effects."
,,,,,,Target 1 monster on the field: banish that target face-up. This card cannot attack the turn you activate this effect.
,,,,,,"During the Damage Step, if this attacking card destroys an opponent's monster by battle: It can make a second attack in a row."
Black Luster Soldier - Sacred Soldier,Effect Monster,LIGHT,Warrior,3000,2500,"When this card is Normal or Special Summoned: You can target 1 of your banished LIGHT or DARK monsters and 1 card your opponent controls; return that banished card to the Graveyard, and if you do, banish that card your opponent controls. You can only use this effect of ""Black Luster Soldier - Sacred Soldier"" once per turn. When this card destroys an opponent's monster by battle: You can target 1 Level 7 or lower Warrior-Type monster in your Graveyard; add it to your hand."
Blizzard Princess,Effect Monster,WATER,Spellcaster,2800,2100,"You can Tribute Summon this card in face-up Attack Position by Tributing 1 Spellcaster-Type monster. After this card was Normal Summoned, your opponent cannot activate Spell/Trap Cards for the rest of that turn."
Block Dragon,Effect Monster,EARTH,Rock,2500,3000,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand orGraveyard) by banishing 3 EARTH monsters from your hand and/or Graveyard, and cannot be Special Summoned by other ways. Rock-Type monsters you control cannot be destroyed, except by battle. If this card is sent from the field to the Graveyard: You can add up to 3 Rock-Type monsters from your Deck to your hand, whose total Levels equal 8. You can only use this effect of ""Block Dragon"" once per turn."
