Card Name,Type,Attribute   ,Sub Type    ,ATK    ,DEF    ,Card Text
Andro Sphinx,Effect Monster,LIGHT,Beast,3000,2500,"You can pay 500 Life Points to Special Summon this card when ""Pyramid of Light"" is on the field. This card cannot attack during the turn that it is Normal Summoned or Special Summoned. This card cannot be Special Summoned from the Graveyard. If this card destroys a Defense Position monster as a result of battle, inflict damage to your opponents Life Points equal to half the ATK of the destroyed monster."
Apoqliphort Towers,Effect Monster,EARTH,Machine,3000,2600,"Cannot be Special Summoned. Requires 3 ""Qli"" monsters to Normal Summon/Set. If this card is Normal Summoned/Set, it is unaffected bySpell/Trap effects and by activated effects from any monster whose original Level/Rank is lower than this card's current Level. All Special Summoned monsters lose 500 ATK and DEF. Once per turn: You can make your opponent send 1 monster from their hand or their side of the field to the Graveyard (their choice)."
Arcana Force EX - The Dark Ruler,Effect Monster,LIGHT,Fairy,4000,4000,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by sending 3 monsters you control to the Graveyard, and cannot be Special Summoned by other ways. When this card is Special Summoned: Toss a coin and gain the appropriate effect."
,,,,,,"Heads: This card can make a second attack during each Battle Phase, but it does so using this effect, change it to Defense Position at the end of the Battle Phase. Its battle position cannot be changed until the end of your next turn."
,,,,,,"Tails: If this card is destroyed, destroy all cards on the field."
Arcana Force EX - The Light Ruler,Effect Monster,LIGHT,Fairy,4000,4000,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by sending 3 monsters you control to the Graveyard, and cannot be Special Summoned by other ways. When this card is Special Summoned: Toss a coin and gain the appropriate effect."
,,,,,,Heads: When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can target 1 card in your Graveyard; add that target to your hand.
,,,,,,"Tails: During either player's turn, when a Spell/Trap Card, or monster effect, that targets this card is activated: This card loses exactly 1000 ATK and you negate the activation, and if you do, destroy it.."
Armed Dragon LV10,Effect Monster,WIND,Dragon,3000,2000,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 ""Armed Dragon LV7"" on your side of the field. By sending 1 card from your hand to the Graveyard, destroy all face-up monsters on your opponent's side of the field."
Blackwing - Aurora the Northern Lights,Effect Monster,LIGHT,Winged Beast,?,0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 2 face-up monsters you control (1 ""Blackwing"" Tuner and 1 non-Tuner). Once per turn, you can remove from play 1 ""Blackwing"" Synchro Monster from your Extra Deck. This card's name, ATK, and effects become the same as that monster's, until the End Phase."
Blue-Eyes Shining Dragon,Effect Monster,LIGHT,Dragon,3000,2500,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 ""Blue-Eyes Ultimate Dragon"" you control. This card gains 300 ATK for each Dragon-Type monster in your Graveyard. You can negate the effects of Spells, Traps, and Effect Monsters that target this card."
Colossal Fighter/Assault Mode,Effect Monster,DARK,Warrior,3300,1500,"This card can not be Normal Summoned or Set. This card can not be Special Summoned except with ""Assault Mode Activate"". When this card is Special Summoned, you can send up to 2 Warrior-Type monsters from your deck to the graveyard. All monsters your opponent controls lose 100 ATK for every Warrior-Type monster in your graveyard. When this card on the field is destroyed, you can Special Summon 1 ""Colossal Fighter"" from your graveyard."
Crimson Nova the Dark Cubic Lord,Effect Monster,DARK,Fiend,3000,0,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by revealing 3 other ""Cubic"" cards in your hand with different names, and cannot be Special Summoned by other ways. Unaffected by other monsters' activated effects, whose original ATK is 3000 or less. When this attacking card destroys a monster by battle: You can activate this effect; this card can make a second attack during this Battle Phase. During your End Phase: Each player takes 3000 damage. You can only use this effect of ""Crimson Nova the Dark Cubic Lord"" once per turn."
Cyber Eltanin,Effect Monster,LIGHT,Machine,?,?,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play all face-up LIGHT Machine-Type monsters from your side of the field and from your Graveyard. This card's ATK and DEF are equal to the number of monsters removed from play for its Special Summon x 500. When this card is Special Summoned, send all other face-up monsters on the field to the Graveyard."
D.D. Esper Star Sparrow,Effect Monster,LIGHT,Warrior,3000,1500,"There can only be 1 face-up ""D.D. Esper Star Sparrow"" on the field. Your opponent cannot target other monsters you control with effects or for attacks. When an opponent's monster declares a direct attack while this card is in your Graveyard: You can Special Summon this card from your Graveyard in face-up Defense Position. If you do, banish it when it leaves the field."
D.D. Jet Iron,Effect Monster,LIGHT,Machine,4000,0,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by sending 1 ""D.D. Esper Star Sparrow"", ""Beast-Warrior Puma"", ""Phoenix Beast Gairuda"", and ""Ironhammer the Giant"" from your hand and/or face-up from your side of the field to the Graveyard. You can Tribute this card to target 1 ""D.D. Esper Star Sparrow"", ""Beast-Warrior Puma"", ""Phoenix Beast Gairuda"" and ""Ironhammer the Giant"" in your Graveyard; Special Summon those targets."
Darklord Desire,Effect Monster,DARK,Fairy,3000,2800,"Cannot be Special Summoned. You can Tribute Summon this card by Tributing 1 Fairy-Type monster. Once per turn: You can target 1 monster your opponent controls; this card loses exactly 1000 ATK, and if it does, send that target to the Graveyard."
Darklord Ixchel,Effect Monster,DARK,Fairy,2500,2900,"You can discard this card and 1 ""Darklord"" card; draw 2 cards. During either player's turn: You can pay 1000 LP, then target 1 ""Darklord"" Spell/Trap Card in your Graveyard; apply that target's effect, then shuffle that target into the Deck. You can only use each effect of ""Darklord Ixchel"" once per turn. You can only Special Summon""Darklord Ixchel(s)"" once per turn."
