Card Name,Type,Attribute,Sub Type,ATK,DEF,Card Text
8-Claws Scorpion,Effect Monster,DARK,Insect,300,200,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only."
A-Team: Trap Disposal Unit,Effect Monster,FIRE,Machine,300,400,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it."
Achichi @Ignister,Effect Monster,FIRE,Cyberse,800,800,"If this card is Normal or Special Summoned: You can add 1 Level 4 or lower ""@Ignister"" monster from your Deck to your hand, except ""Achichi @Ignister"". At the start of the Damage Step, when your Cyberse monster battles: You can banish this card from your GY; destroy that monster you control. You can only use each effect of ""Achichi @Ignister"" once per turn."
Alien Infiltrator,Effect Monster,EARTH,Reptile,800,500,"Once per turn, this card can move to an adjacent unoccupied Monster Card Zone. If no Spell, Trap or Monster Card on your opponent's side of the field is in the same column as this card, it can attack your opponent directly."
Ally of Justice Unlimiter,Effect Monster,DARK,Machine,600,200,"You can Tribute this card to double the original ATK of 1 face-up ""Ally of Justice"" monster you control until the End Phase."
Ally Salvo,Effect Monster,DARK,Machine,400,300,"When this card is destroyed by battle with a LIGHT monster and sent to the Graveyard, select 2 cards on the field and destroy them."
Altergeist Silquitous,Effect Monster,WIND,Spellcaster,800,1500,"(Quick Effect): You can return 1 other ""Altergeist"" card you control to the hand, then target 1 card your opponent controls; return it to the hand. If this card is sent from the field to the GY: You can target 1 ""Altergeist"" Trap in your GY; add that card to your hand. You can only use each effect of ""Altergeist Silquitous"" once per turn."
Amazoness Baby Tiger,Effect Monster,EARTH,Beast,500,500,"This card's name becomes ""Amazoness Tiger"" while on the field or in the GY. If an ""Amazoness"" monster is Normal or Special Summoned to your field while this card is in your hand or GY: You can Special Summon this card. You can only use this effect of ""Amazoness Baby Tiger"" once per turn. Gains 100 ATK for each ""Amazoness"" card in your GY."
Amazoness Scouts,Effect Monster,EARTH,Warrior,500,1100,"During either player's turn: You can Tribute this card; this turn, face-up ""Amazoness"" monsters you currently control cannot be targeted by monster effects, and cannot be destroyed by card effects."
Ancient Gear,Effect Monster,EARTH,Machine,100,800,"While an ""Ancient Gear"" is face-up on your side of the field, you can Special Summon this card from your hand in Attack Position."
Ancient Gear Cannon,Effect Monster,EARTH,Machine,500,500,"You can Tribute this card to inflict 500 damage to your opponent, and then neither player can activate Trap Cards during the Battle Phase of this turn."
Apprentice Magician,Effect Monster,DARK,Spellcaster,400,800,When this card is Summoned: Target 1 face-up card that you can place a Spell Counter on; place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster-Type monster from your Deck in face-down Defense Position.
Aquaactress Guppy,Effect Monster,WATER,Aqua,600,600,"Once per turn: You can Special Summon 1 ""Aquaactress"" monster from your hand."
Aromage Jasmine,Effect Monster,LIGHT,Plant,100,1900,"During your Main Phase, while your LP is higher than your opponent's, you can Normal Summon 1 Plant-Type monster in addition to your Normal Summon/Set, except ""Aromage Jasmine"". (You can only gain this effect once per turn.) Once per turn, if you gain LP: Draw 1 card."
Atlantean Heavy Infantry,Effect Monster,WATER,Sea Serpent,0,1600,"During your Main Phase, you can Normal Summon a Level 4 or lower Sea Serpent-Type monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) When this card is sent to the Graveyard to activate a WATER monster's effect: Target 1 face-up card your opponent controls; destroy that target."
Baby Raccoon Ponpoko,Effect Monster,EARTH,Beast,800,0,"When this card is Normal Summoned: You can Special Summon 1 Level 2 Beast-Type monster from your Deck in face-down Defense Position, except ""Baby Raccoon Ponpoko"". You cannot Special Summon any monsters during the turn you activate this effect, except Beast-Type monsters."
