Card Name,Type,Attribute,Sub Type,ATK,DEF,Card Text
Absorouter Dragon,Effect Monster,DARK,Dragon,1200,2800,"If you control a ""Rokket"" monster, you can Special Summon this card (from your hand). You can only Special Summon ""Absorouter Dragon"" once per turn this way. If this card is sent to the GY: You can add 1 ""Rokket"" monster from your Deck to your hand. You can only use this effect of ""Absorouter Dragon"" once per turn."
Allure Queen LV7,Effect Monster,DARK,Spellcaster,1500,1500,"Once per turn, during your Main Phase, if this card was Special Summoned by the effect of ""Allure Queen LV5"", you can select 1 monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead."
"Alpacaribou, Mystical Beast of the Forest",Effect Monster,EARTH,Beast,2700,2100,"While in Attack Position: Attack Position Winged Beast, Insect. and Plant-Type monsters you control cannot be destroyed by battle."
,,,,,,"While in Defense Position: Defense Position Winged Beast, Insect, and Plant-Type monsters you control cannot be targeted by, or be destroyed by, card effects."
Ancient Crimson Ape,Effect Monster,LIGHT,Beast,2600,1800,"When a Monster(s) you control is destroyed and sent to the Graveyard, gain 1000 Life Points."
Ancient Gear Hydra,Effect Monster,EARTH,Machine,2700,1700,"At the end of the Damage Step, when this card that was Tribute Summoned by Tributing an ""Ancient Gear"" monster battles an opponent's monster, but the opponent's monster was not destroyed by the battle: You can banish that opponent's monster. If this card was Tribute Summoned by Tributing a ""Gadget"" monster, it can attack all monsters your opponent controls, once each. If an ""Ancient Gear"" monster you control attacks, your opponent's Spell/Trap Cards and monster effects cannot be activated until the end of the Damage Step."
Ancient Warriors - Loyal Guan Yun,Effect Monster,WIND,Beast-Warrior,2500,1800,"If only your opponent controls a monster: You can Special Summon this card from your hand. Your opponent cannot target other ""Ancient Warriors"" monsters you control with card effects. If your opponent controls more monsters than you do: You can target 1 monster your opponent controls; destroy it. You can only use this effect of ""Ancient Warriors - Loyal Guan Yun"" once per turn."
Ancient Warriors - Valiant Zhang De,Effect Monster,WIND,Beast-Warrior,2700,900,"Gains 300 ATK for each monster your opponent controls, during your turn only. You can only use each of the following effects of ""Ancient Warriors - Valiant Zhang De"" once per turn."
,,,,,,"If you control 2 or more ""Ancient Warriors"" monsters: You can Special Summon this card from your hand."
,,,,,,If your opponent controls more monsters than you do: You can activate this effect; this card can make up to 2 attacks on monsters during each Battle Phase this turn.
