Card Name,Type,Attribute   ,Sub Type    ,ATK    ,DEF    ,Card Text
A/D Changer,Effect Monster,LIGHT,Warrior,100,100,You can remove from play this card in your Graveyard to select 1 monster on the field. Change its battle position.
Absolute King Back Jack,Effect Monster,DARK,Fiend,0,0,"During your opponent's turn: You can banish this card from your Graveyard (this is a Quick Effect); excavate the top card of your Deck, and if it is a Normal Trap Card, Set it to your side of the field. Otherwise, send it to the Graveyard. That Set card can be activated during this turn. If this card is sent to the Graveyard: You can look at 3 cards from the top of your Deck, then place them on the top of the Deck in any order. You can only use each effect of ""Absolute King Back Jack"" once per turn."
Acorno,Effect Monster,EARTH,Plant,200,400,"During your Main Phase: You can send 1 ""Pinecono"" from your hand to the Graveyard, and Special Summon this card from the hand."
Alien Psychic,Effect Monster,DARK,Reptile,200,100,This card is changed to Defense Position when it is Normal Summoned or Flip Summoned. Monsters with A-Counters cannot declare an attack.
Altergeist Meluseek,Effect Monster,WATER,Spellcaster,500,300,"This card can attack directly. When this card inflicts battle damage to your opponent: You can target 1 card your opponent controls; send it to the GY. If this card is sent from the field to the GY: You can add 1 ""Altergeist"" monster from your Deck to your hand, except ""Altergeist Meluseek"". You can only use this effect of ""Altergeist Meluseek"" once per turn."
Altergeist Pixiel,Effect Monster,WIND,Spellcaster,100,100,"You can Tribute this card; excavate the top 3 cards of your Deck, add 1 excavated ""Altergeist"" card to your hand, also send the rest to the GY. You can only use this effect of ""Altergeist Pixiel"" once per turn."
Amarylease,Effect Monster,EARTH,Plant,100,200,"During your Main Phase: You can banish this card from your Graveyard; you can Normal Summon 1 monster this turn for 1 less Tribute. You can only use the effect of ""Amarylease"" once per turn."
Ameba,Effect Monster,WATER,Aqua,300,350,"When the control of this face-up card on the field shifts to your opponent, inflict 2000 points of damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field."
Anesthrokket Dragon,Effect Monster,DARK,Dragon,0,2200,"When a Link Monster's effect is activated that targets this face-up card on the field (Quick Effect): You can destroy this card, then make 1 face-up monster on the field unable to attack, also it has its effects negated. During the End Phase, if this card is in the GY because it was destroyed on the field by battle or card effect and sent there this turn: You can Special Summon 1 ""Rokket"" monster from your Deck, except ""Anesthrokket Dragon"". You can only use each effect of ""Anesthrokket Dragon"" once per turn."
Aquaactress Tetra,Effect Monster,WATER,Aqua,300,300,"Once per turn: You can add 1 ""Aquarium"" card from your Deck to your hand."
Arcana Force 0 - The Fool,Effect Monster,LIGHT,Fairy,0,0,"This card cannot be destroyed by battle. This card cannot be changed to Defense Position, except with a card effect. When this card is Summoned toss a coin:"
,,,,,,"Heads: Negate the effects of your Spells, Traps, and Effect Monsters' effects that target this card and destroy them."
,,,,,,"Tails: Negate the effects of your opponent's Spells, Traps and Effect Monsters' effects that target this card, and destroy them."
Aroma Jar,Effect Monster,WIND,Rock,500,400,"If this card is flipped face-up, this card cannot be destroyed by battle while it is face-up on the field. If this card is flipped face-up, during each player's End Phase: You gain 500 LP."
Aromage Laurel,Effect Monster,WIND,Plant,800,0,"If your LP are higher than your opponent's: You can Special Summon this card from your hand. If you gain LP: Target 1 non-Tuner Plant monster on the field; it is treated as a Tuner this turn. If this card is sent to the GY: You can gain 500 LP. You can only use each effect of ""Aromage Laurel"" once per turn."
Atomic Firefly,Effect Monster,LIGHT,Insect,100,200,"When this face-up card on the field attacks or is attacked and it is destroyed as a result of battle, the player who destroyed it takes 1000 points of damage."
Batteryman D,Effect Monster,WIND,Thunder,0,1900,"While this card is face-up on your side of the field, your opponent cannot select a Thunder-Type monster on your side of the field as an attack target (except ""Batteryman D"")."
